party,year,emissions_gt
Hungary,1992,0.07884727517183521
Hungary,1993,0.07986504194609839
Hungary,1994,0.07875064400786402
Hungary,1995,0.07764768130820139
Hungary,1996,0.07980429798907428
Hungary,1997,0.07830828785591927
Hungary,1998,0.07778448543533747
Hungary,1999,0.07824802772768191
Hungary,2000,0.07537831288546408
Hungary,2001,0.0771849789959791
Hungary,2002,0.07547863172184435
Hungary,2003,0.07836770402813055
Hungary,2004,0.07719204976466029
Hungary,2005,0.07695488406575261
Hungary,2006,0.07566029299219554
Hungary,2007,0.0740108348413439
Hungary,2008,0.07195460417938085
Hungary,2009,0.06592448204844142
Hungary,2010,0.0665337863601873
Hungary,2011,0.06487017196404225
Hungary,2012,0.061557117031617196
Hungary,2013,0.058661109496170066
Hungary,2014,0.058993140196885285
Hungary,2015,0.06220109364232352
Hungary,2016,0.06269622138233812
Hungary,2017,0.06507275783380431
Hungary,2018,0.06503363679940245
Hungary,2019,0.06477178798772565
Hungary,2020,0.06296531726143112
Hungary,2021,0.06421784138502935
Iceland,1990,0.0036820449567323494
Iceland,1991,0.003475789967245591
Iceland,1992,0.003409119109929906
Iceland,1993,0.003496415843246273
Iceland,1994,0.003424410184578534
Iceland,1995,0.003554690641108072
Iceland,1996,0.003615808063796697
Iceland,1997,0.003774465760229324
Iceland,1998,0.0039073632618017145
Iceland,1999,0.004123132415455589
Iceland,2000,0.004154228591106366
Iceland,2001,0.004049734405040367
Iceland,2002,0.004143911387559893
Iceland,2003,0.0041068691117782125
Iceland,2004,0.004210917893292449
Iceland,2005,0.004059339955606423
Iceland,2006,0.0046194184736026754
Iceland,2007,0.004924318055458562
Iceland,2008,0.005307800550569595
Iceland,2009,0.005001504089541084
Iceland,2010,0.004906351342483006
Iceland,2011,0.004692247217385131
Iceland,2012,0.004686900081194312
Iceland,2013,0.004694672122555327
Iceland,2014,0.004687515325664641
Iceland,2015,0.0047727083329374455
Iceland,2016,0.004715537093303604
Iceland,2017,0.004799699174130512
Iceland,2018,0.004870413997352613
Iceland,2019,0.004723898079044431
Iceland,2020,0.004521059266209522
Iceland,2021,0.004662239514960989
Ireland,1990,0.05564283600014751
Ireland,1991,0.056553462803865855
Ireland,1992,0.05658955754714207
Ireland,1993,0.057186825920114384
